0121210,1
012321210,1
01210,1
01210,1
010,1
010,1
010,1
010,1
12120,1
121,1
012310,1
01210,1
01213210,1
02323210,2
12321,2
012323210,2
012323210,2
0232323210,2
1232121,2
012323210,2
12321,2
0123210,2
124321,2
012343210,2
12321,3
01234210,3
01234320,3
0123210,3
232321,3
1232343210,3
1234321,3
1232321,3
1232321,3
023420,3
012323210,3
12321,3
0234323210,3
0123210,3
1232321,3
0121210,4
12121,4
01210,4
1212121,4
01210,4
0121210,4
0120,4
012121210,4
12321,5
023210,5
1232,5
0123210,5
0123210,5
1232321,5
0124654320,5
032345434343543210,5
12321,5
0123210,5
0123210,5
0123210,6
0123210,6
0123210,6
013210,6
012454310,6
123210,6
0123210,6
0123210,6
12321,6
012320,6
0123210,6
0123210,6
0123210,7
123231,7
1232121,7
01210,7
0123210,7
0123210,7
01232120,7
121,7
01210,7
121,7
1232,7
12343432,8
0123434310,8
0123420,8
121234321,8
0234323210,8
0121210,8
012134565454210,8
1345345654210,8
02432310,8
0121210,8
01243210,8
0123210,9
0121210,9
01210,9
0123210,9
1012321,9
0123210,9
0123231210,9
0123210,9
12321,0
0123210,0
121,0
01210,0
121,0
01210,0
01210,0
012323210,3
12321,2
010,1
0123210,5
01210,0
012343121210,2
024321210,2
012323210,3
010,1
023210,3
012343210,2
